iteracao,retorno_usd,multiplicador
449,5430130281.156696,2.7205061528841163
450,5477656121.187934,2.744316693981931
451,4257927231.3053493,2.133230075804283
452,5866237307.825958,2.938996647207394
453,4884656479.630028,2.4472226851853844
454,5048864868.119037,2.529491416893305
455,4647899211.192674,2.3286068192348064
456,4753415010.940983,2.3814704463632177
457,4807127994.396877,2.4083807587158703
458,4712836217.415846,2.3611403894868968
459,4595041569.566072,2.302125034852742
460,5115322265.872111,2.5627867063487533
461,5096997408.316522,2.553605915990241
462,6182379892.980177,3.0973847159219323
463,5900929252.441092,2.9563773809825107
464,5759482425.737131,2.885512237343252
465,5389980669.740811,2.700391117104615
466,5927553648.020149,2.969716256523121
467,4944429331.245395,2.477169003629957
468,4471031443.752171,2.2399957133026906
469,4851724334.611668,2.430723614534904
470,5683066793.774842,2.8472278525926065
471,4735345080.3531,2.372417374926403
472,5047757739.043188,2.528936743007609
473,5369043822.158447,2.68990171450824
474,5892533232.260209,2.952170958046197
475,4695090226.640501,2.352249612545341
476,5819177921.867455,2.9154198005347967
477,5052766782.230597,2.5314462836826634
478,4832148148.942794,2.4209159062839647
479,6306978937.7043705,3.159809087026238
480,4709198006.47864,2.3593176385163526
481,4925758532.869532,2.46781489622722
482,5399431027.91039,2.705125765486167
483,5055829372.76247,2.532980647676588
484,5871140713.651325,2.9414532633523676
485,4836201470.5341835,2.42294662852414
486,4323552269.948201,2.1661083516774555
487,4755770764.762085,2.3826506837485395
488,4888130757.930458,2.448963305576382
489,4421957916.065012,2.2154097775876815
490,5015182344.270437,2.512616404945109
491,4633472933.640258,2.3213792252706704
492,5049932579.98676,2.5300263426787377
493,4831258522.045452,2.420470201425577
494,5000873332.189669,2.505447561217269
495,4886026132.200598,2.4479088838680347
496,5042070342.54257,2.5260873459632114
497,5341912838.253453,2.6763090372011287
498,4341352762.297762,2.1750264340169148
499,4656062625.412077,2.332696706118275
500,6022287487.74027,3.0171781000702755
501,5095641313.2372875,2.5529265096379197
502,4613928680.857515,2.311587515459677
503,4268475708.963051,2.1385148842500254
504,4498849204.551507,2.253932467210174
505,4914069846.401457,2.4619588408824935
506,5225363680.416036,2.617917675559136
507,4707527822.210304,2.358480872850854
508,5339677597.008686,2.6751891768580593
509,4876070883.631299,2.4429212843844184
510,4836896588.488683,2.4232948840123663
511,5350398686.688973,2.6805604642730327
512,5511591183.19626,2.7613182280542388
513,5076731602.107496,2.5434527064666814
514,5548094225.766139,2.7796063255341377
515,5209991321.673412,2.6102160930227516
516,5154386085.080372,2.5823577580562986
517,4789969032.746194,2.399784084542181
518,5136676434.958723,2.5734851878550717
519,4814153867.49587,2.4119007352183717
520,5081211498.393948,2.5456971434839417
521,4873302699.522661,2.4415344185985277
522,5136176478.901943,2.573234708868709
523,4292094665.1278257,2.1503480286211554
524,5215254797.407931,2.612853104913793
525,5330629848.606012,2.6706562367765594
526,4593977571.534717,2.301591969706772
527,5389613800.132439,2.7002073146956107
528,5568460664.72166,2.7898099522653608
529,4542443773.103883,2.275773433418779
530,5692230463.020132,2.851818869248563
531,5589495944.480477,2.8003486695793973
532,5607773328.860851,2.8095056757819896
533,4930228249.280815,2.470054233106621
534,5875363799.86652,2.9435690380092785
535,4942281380.332736,2.4760928759182046
536,4549846075.432581,2.27948200171973
537,6454259278.3858,3.2335968328586175
538,5022696008.834258,2.516380765949027
539,6121769827.162842,3.0670189514843895
540,5069641361.459301,2.5399004816930364
541,4832428171.129569,2.421056197960706
542,5325106591.179263,2.667889073737106
543,5398122030.251574,2.7044699550358584
544,5168710883.763138,2.5895345109033756
545,5344225126.897543,2.677467498445663
546,4960671497.707758,2.485306361577033
547,5052919148.411275,2.5315226194445266
548,5389128244.794246,2.699964050498119
549,5647780884.15779,2.8295495411612177
550,5261281715.8865795,2.6359126833099094
551,4691803548.329061,2.35060298012478
552,4844247685.398076,2.426977798295629
553,5320506755.120842,2.6655845466537285
554,5112042341.474669,2.56114345765264
555,4931357498.800695,2.470619989379106
556,5028208894.755092,2.5191427328432323
557,4935097828.111444,2.472493901859441
558,5251615050.247125,2.6310696644524674
559,5033001970.812771,2.521544073553492
560,4901597784.167517,2.4557103127091766
561,4739956424.944016,2.3747276678076235
562,4435534382.229164,2.2222116143432684
563,4454311390.757381,2.2316189332451812
564,4738148603.783899,2.373821945783517
565,4542449292.338285,2.2757761985662754
566,4688876715.855232,2.349136631189996
567,4097537110.806164,2.052874304011104
568,4250991691.038003,2.1297553562314646
569,4607854416.780771,2.3085442969843544
570,4875988123.488241,2.4428798213868945
571,4179537304.777856,2.0939565655199677
572,4683660450.216189,2.3465232716513973
573,5223942470.730127,2.6172056466583804
574,4646177935.530103,2.327744456678408
575,5226906327.258891,2.6186905447188833
576,4599125800.00854,2.3041712424892484
577,5671874872.823626,2.8416206777673474
578,4861986666.295695,2.4358650632743966
579,4832368757.963266,2.421026431845324
580,5254936594.32007,2.632733764689414
581,4541022924.362208,2.275061585351808
582,4810946014.488197,2.4102935944329644
583,5391690104.576627,2.7012475473830797
584,4539634319.711262,2.274365891638909
585,4695941334.108162,2.3526760190922653
586,4602629127.137778,2.3059264164016926
587,5063184242.336117,2.536665452072203
588,6076176342.319714,3.0441765242082734
589,4880991239.905592,2.4453863927382726
590,5423018981.480074,2.716943377495027
591,4738064682.993825,2.3737799012995113
592,5534927297.892585,2.773009668282858
